"SUID","AbsWeight","interaction","name","Qual","selected","shared interaction","shared name","Wght"
"634","0.486","Affects","Ea (Affects) Pa","-1.0","false","Affects","Ea (Affects) Pa","-0.486"
"635","0.632","Affects","Ea (Affects) Pch","-1.0","false","Affects","Ea (Affects) Pch","-0.632"
"636","0.054766732120943296","Affects","Ea (Affects) Pci","-1.0","false","Affects","Ea (Affects) Pci","-0.054766732120943296"
"637","0.24845597368583605","Affects","Ea (Affects) Pf","-1.0","false","Affects","Ea (Affects) Pf","-0.24845597368583605"
"638","0.999","Affects","Ea (Affects) Pp","-1.0","false","Affects","Ea (Affects) Pp","-0.999"
"639","0.999","Affects","Ea (Affects) Pv","-1.0","false","Affects","Ea (Affects) Pv","-0.999"
"640","0.58","Affects","Ea (Affects) Sm","-1.0","false","Affects","Ea (Affects) Sm","-0.58"
"641","1.8289999999999997","Affects","Pa (Affects) Ea","1.0","false","Affects","Pa (Affects) Ea","1.8289999999999997"
"642","1.436","Affects","Pa (Affects) Pch","-1.0","false","Affects","Pa (Affects) Pch","-1.436"
"643","0.035724806726930174","Affects","Pa (Affects) Pci","-1.0","false","Affects","Pa (Affects) Pci","-0.035724806726930174"
"644","0.7196995515928435","Affects","Pa (Affects) Pf","-1.0","false","Affects","Pa (Affects) Pf","-0.7196995515928435"
"645","0.1022167933540741","Affects","Pa (Affects) Pp","-1.0","false","Affects","Pa (Affects) Pp","-0.1022167933540741"
"646","1.416","Affects","Pa (Affects) Pv","1.0","false","Affects","Pa (Affects) Pv","1.416"
"647","0.336","Affects","Pa (Affects) Sm","-1.0","false","Affects","Pa (Affects) Sm","-0.336"
"648","0.892","Affects","Pch (Affects) Ea","1.0","false","Affects","Pch (Affects) Ea","0.892"
"649","0.39","Affects","Pch (Affects) Pa","1.0","false","Affects","Pch (Affects) Pa","0.39"
"650","0.167","Affects","Pch (Affects) Pci","1.0","false","Affects","Pch (Affects) Pci","0.167"
"651","0.242","Affects","Pch (Affects) Pf","-1.0","false","Affects","Pch (Affects) Pf","-0.242"
"652","1.221","Affects","Pch (Affects) Pp","1.0","false","Affects","Pch (Affects) Pp","1.221"
"653","0.832","Affects","Pch (Affects) Pv","1.0","false","Affects","Pch (Affects) Pv","0.832"
"654","0.269","Affects","Pch (Affects) Sm","1.0","false","Affects","Pch (Affects) Sm","0.269"
"655","24.029592594776453","Affects","Pci (Affects) Ea","1.0","false","Affects","Pci (Affects) Ea","24.029592594776453"
"656","5.057814765909071","Affects","Pci (Affects) Pa","-1.0","false","Affects","Pci (Affects) Pa","-5.057814765909071"
"657","0.999","Affects","Pci (Affects) Pch","-1.0","false","Affects","Pci (Affects) Pch","-0.999"
"658","387583.497","Affects","Pci (Affects) Pf","1.0","false","Affects","Pci (Affects) Pf","387583.497"
"659","0.999","Affects","Pci (Affects) Pp","-1.0","false","Affects","Pci (Affects) Pp","-0.999"
"660","0.114","Affects","Pci (Affects) Pv","-1.0","false","Affects","Pci (Affects) Pv","-0.114"
"661","18.68","Affects","Pci (Affects) Sm","1.0","false","Affects","Pci (Affects) Sm","18.68"
"662","0.0659731404952757","Affects","Pf (Affects) Ea","-1.0","false","Affects","Pf (Affects) Ea","-0.0659731404952757"
