"SUID","AbsWeight","interaction","name","Qual","selected","shared interaction","shared name","Wght"
"663","0.6820389233206036","Affects","Pf (Affects) Pa","-1.0","false","Affects","Pf (Affects) Pa","-0.6820389233206036"
"664","1.48","Affects","Pf (Affects) Pch","-1.0","false","Affects","Pf (Affects) Pch","-1.48"
"665","1.001","Affects","Pf (Affects) Pci","-1.0","false","Affects","Pf (Affects) Pci","-1.001"
"666","0.256","Affects","Pf (Affects) Pp","-1.0","false","Affects","Pf (Affects) Pp","-0.256"
"667","0.2578430654637689","Affects","Pf (Affects) Pv","-1.0","false","Affects","Pf (Affects) Pv","-0.2578430654637689"
"668","0.103","Affects","Pf (Affects) Sm","-1.0","false","Affects","Pf (Affects) Sm","-0.103"
"669","0.692","Affects","Pp (Affects) Ea","-1.0","false","Affects","Pp (Affects) Ea","-0.692"
"670","0.5256720142389006","Affects","Pp (Affects) Pa","-1.0","false","Affects","Pp (Affects) Pa","-0.5256720142389006"
"671","0.833","Affects","Pp (Affects) Pch","-1.0","false","Affects","Pp (Affects) Pch","-0.833"
"672","0.31","Affects","Pp (Affects) Pci","1.0","false","Affects","Pp (Affects) Pci","0.31"
"673","0.448","Affects","Pp (Affects) Pf","-1.0","false","Affects","Pp (Affects) Pf","-0.448"
"674","0.556","Affects","Pp (Affects) Pv","1.0","false","Affects","Pp (Affects) Pv","0.556"
"675","1.567","Affects","Pp (Affects) Sm","1.0","false","Affects","Pp (Affects) Sm","1.567"
"676","0.063","Affects","Pv (Affects) Ea","-1.0","false","Affects","Pv (Affects) Ea","-0.063"
"677","0.901","Affects","Pv (Affects) Pa","-1.0","false","Affects","Pv (Affects) Pa","-0.901"
"678","0.743","Affects","Pv (Affects) Pch","-1.0","false","Affects","Pv (Affects) Pch","-0.743"
"679","0.54","Affects","Pv (Affects) Pci","1.0","false","Affects","Pv (Affects) Pci","0.54"
"680","0.3405582494499795","Affects","Pv (Affects) Pf","-1.0","false","Affects","Pv (Affects) Pf","-0.3405582494499795"
"681","3.13","Affects","Pv (Affects) Pp","-1.0","false","Affects","Pv (Affects) Pp","-3.13"
"682","1.0836260879113753","Affects","Pv (Affects) Sm","1.0","false","Affects","Pv (Affects) Sm","1.0836260879113753"
"683","2.375","Affects","Sm (Affects) Ea","-1.0","false","Affects","Sm (Affects) Ea","-2.375"
"684","0.638","Affects","Sm (Affects) Pa","-1.0","false","Affects","Sm (Affects) Pa","-0.638"
"685","0.574","Affects","Sm (Affects) Pch","-1.0","false","Affects","Sm (Affects) Pch","-0.574"
"686","0.017","Affects","Sm (Affects) Pci","1.0","false","Affects","Sm (Affects) Pci","0.017"
"687","0.535","Affects","Sm (Affects) Pf","-1.0","false","Affects","Sm (Affects) Pf","-0.535"
"688","1.947","Affects","Sm (Affects) Pp","-1.0","false","Affects","Sm (Affects) Pp","-1.947"
"689","0.9384035265848767","Affects","Sm (Affects) Pv","-1.0","false","Affects","Sm (Affects) Pv","-0.9384035265848767"
