Trio,Microbe,w/Both,w/Pv,w/Sm,w/Pci
PvxSmxPci,Pv,1.64901619,0,1.152480225,1.508087171
PvxSmxPci,Sm,0.305929127,0.229653486,0,0.960085023
PvxSmxPci,Pci,-1.887727417,-2.562508417,-1.016030027,0
,,,,,
Trio,Microbe,w/Both,w/Sm,w/Pch,w/Pa
SmxPchxPa,Sm,1.511129049,0,0.511837134,0.434875374
SmxPchxPa,Pch,1.099907447,0.754786075,0,1.122299623
SmxPchxPa,Pa,-0.089067461,0.630484987,-0.889067461,0
,,,,,
Trio,Microbe,w/Both,w/Ea,w/Pci,w/Sm
EaxPcixSm,Ea,1.636146563,0,2.154735371,2.100961482
EaxPcixSm,Pci,-1.052487076,-1.435235434,0,-1.016030027
EaxPcixSm,Sm,0.044518465,-0.681093549,0.960085023,0
,,,,,
Trio,Microbe,w/Both,w/Pch,w/Pv,w/Pf
PchxPvxPf,Pch,1.383297006,0,0.63152497,0.339904368
PchxPvxPf,Pv,1.140643062,1.547149938,0,0.678620486
PchxPvxPf,Pf,-0.452027312,-0.616150982,0.794866094,0
,,,,,
Trio,Microbe,w/Both,w/Pch,w/Sm,w/Pf
PchxSmxPf,Pch,1.125272661,0,0.754786075,0.339904368
PchxSmxPf,Sm,1.049774072,0.511837134,0,0.171624944
PchxSmxPf,Pf,-0.382499941,-0.616150982,2.343934183,0
,,,,,
Trio,Microbe,w/Both,w/Pp,w/Ea,w/Pci
PpxEaxPci,Pp,1.351570468,0,1.098376333,2.334099376
PpxEaxPci,Ea,0.309001036,-0.023685469,0,2.154735371
PpxEaxPci,Pci,-1.829741103,-2.406727685,-1.435235434,0
,,,,,
Trio,Microbe,w/Both,w/Pp,w/Pch,w/Pv
PpxPchxPv,Pp,-0.20526167,0,0.519499542,1.442233329
PpxPchxPv,Pch,1.716280301,0.435285607,0,0.63152497
PpxPchxPv,Pv,0.945015667,-0.549250708,1.547149938,0
,,,,,
Trio,Microbe,w/Both,w/Pp,w/Pch,w/Sm
PpxPchxSm,Pp,-0.143848862,0,0.519499542,2.634449091
PpxPchxSm,Pch,1.811649063,0.435285607,0,0.754786075
PpxPchxSm,Sm,0.261696763,-0.676382492,0.511837134,0
,,,,,
Trio,Microbe,w/Both,w/Pf,w/Pa,w/Sm
PfxPaxSm,Pf,-0.025419095,0,-0.264455626,2.343934183
PfxPaxSm,Pa,-0.016565582,0.33030826,0,0.630484987
PfxPaxSm,Sm,1.335951825,0.171624944,0.434875374,0
,,,,,
Trio,Microbe,w/Both,w/Pf,w/Pci,w/Ea
PfxPcixEa,Pf,-0.09527369,0,0.045424264,0.658655171
PfxPcixEa,Pci,-1.500587839,-1.505676511,0,-1.435235434
PfxPcixEa,Ea,1.177420518,0.287215062,2.154735371,0
,,,,,
Trio,Microbe,w/Both,w/Pf,w/Pp,w/Ea
PfxPpxEa,Pf,0.14462492,0,0.645689885,0.658655171
PfxPpxEa,Pp,0.169449501,0.519474394,0,1.098376333
PfxPpxEa,Ea,1.039408206,0.287215062,-0.023685469,0
,,,,,
Trio,Microbe,w/Both,w/Pf,w/Pv,w/Ea
PfxPvxEa,Pf,0.229704733,0,0.794866094,0.658655171
PfxPvxEa,Pv,0.098847992,0.678620486,0,0.427935508
PfxPvxEa,Ea,0.97228786,0.287215062,0.102093135,0
,,,,,
Trio,Microbe,w/Both,w/Pf,w/Sm,w/Pci
PfxSmxPci,Pf,0.269944959,0,2.343934183,0.045424264
PfxSmxPci,Sm,1.218954576,0.171624944,0,0.960085023
PfxSmxPci,Pci,-1.754945243,-1.505676511,-1.016030027,0
,,,,,
Trio,Microbe,w/Both,w/Pp,w/Pa,w/Ea
PpxPaxEa,Pp,2.146820559,0,0.917762389,1.098376333
PpxPaxEa,Pa,0.626753089,0.56715904,0,0.646610777
PpxPaxEa,Ea,-0.142019441,-0.023685469,1.298059463,0
,,,,,
Trio,Microbe,w/Both,w/Pv,w/Pa,w/Ea
PvxPaxEa,Pv,0.698306765,0,1.360385083,0.427935508
PvxPaxEa,Pa,1.880362912,2.633124776,0,0.646610777
PvxPaxEa,Ea,0.304968986,0.102093135,1.298059463,0
,,,,,
Trio,Microbe,w/Both,w/Pv,w/Pch,w/Ea
PvxPchxEa,Pv,0.308995516,0,1.547149938,0.427935508
PvxPchxEa,Pch,1.334444969,0.63152497,0,0.729330044
PvxPchxEa,Ea,0.075222739,0.102093135,1.589270361,0
,,,,,
Trio,Microbe,w/Both,w/Pf,w/Pa,w/Ea
PfxPaxEa,Pf,0.925267171,0,-0.264455626,0.658655171
PfxPaxEa,Pa,-0.079845212,0.33030826,0,0.646610777
PfxPaxEa,Ea,0.584366193,0.287215062,1.298059463,0
,,,,,
Trio,Microbe,w/Both,w/Pf,w/Pa,w/Pp
PfxPaxPp,Pf,0.355559437,0,-0.264455626,0.645689885
PfxPaxPp,Pa,-0.067705985,0.33030826,0,0.56715904
PfxPaxPp,Pp,1.356270139,0.519474394,0.917762389,0
,,,,,
Trio,Microbe,w/Both,w/Pf,w/Pa,w/Pv
PfxPaxPv,Pf,0.550306274,0,-0.264455626,0.794866094
PfxPaxPv,Pa,-0.086498009,0.33030826,0,2.633124776
PfxPaxPv,Pv,1.67415036,0.678620486,1.360385083,0
,,,,,
Trio,Microbe,w/Both,w/Pf,w/Sm,w/Pv
PfxSmxPv,Pf,0.111323667,0,2.343934183,0.794866094
PfxSmxPv,Sm,-0.193437763,0.171624944,0,0.229653486
PfxSmxPv,Pv,1.877722047,0.678620486,1.152480225,0
,,,,,
Trio,Microbe,w/Both,w/Pp,w/Pch,w/Ea
PpxPchxEa,Pp,-0.170317723,0,0.519499542,1.098376333
PpxPchxEa,Pch,1.125641355,0.435285607,0,0.729330044
PpxPchxEa,Ea,0.721801287,-0.023685469,1.589270361,0
,,,,,
Trio,Microbe,w/Both,w/Sm,w/Pa,w/Pv
SmxPaxPv,Sm,-0.186684547,0,0.434875374,0.229653486
SmxPaxPv,Pa,1.169445643,0.630484987,0,2.633124776
SmxPaxPv,Pv,1.323769596,1.152480225,1.360385083,0
,,,,,
Trio,Microbe,w/Both,w/Sm,w/Pv,w/Pch
SmxPvxPch,Sm,-0.195803166,0,0.229653486,0.511837134
SmxPvxPch,Pv,1.25782533,1.152480225,0,1.547149938
SmxPvxPch,Pch,1.354020089,0.754786075,0.63152497,0
,,,,,
Trio,Microbe,w/Both,w/Pci,w/Pp,w/Pa
PcixPpxPa,Pci,-1.887727417,0,-2.406727685,-2.481204232
PcixPpxPa,Pp,1.147951862,2.334099376,0,0.917762389
PcixPpxPa,Pa,0.439931573,1.034788848,0.56715904,0
,,,,,
Trio,Microbe,w/Both,w/Pci,w/Pp,w/Pch
PcixPpxPch,Pci,-1.887727417,0,-2.406727685,-2.577237348
PcixPpxPch,Pp,0.855337799,2.334099376,0,0.519499542
