,r,K
Ea,0.13706999999999983,0.34598651437983863
Pa,0.07894874999999998,0.11853289296529786
Pch,0.09350249999999999,0.1358619287678994
Pci,0.005196249999999999,0.01
Pf,0.017703750000000004,0.038381055943067954
Pp,0.15328874999516973,0.26969544557585706
Pv,0.1222075,0.17552112366655676
Sm,0.1531662499997739,0.2987750063737783
